1,27,DET
2,0,TOT
2,1,NSH
2,23,EDM
3,4,BOS
4,4,BOS
5,21,CAR
6,22,NYI
7,0,TOT
7,12,PHI
7,17,COL
8,28,MTL
9,13,LAK
10,14,CBJ
11,24,NYR
12,20,CGY
13,13,LAK
14,17,COL
15,25,CHI
16,31,BUF
17,26,VAN
18,0,TOT
18,29,ARI
18,10,PIT
19,2,WPG
20,1,NSH
21,10,PIT
22,27,DET
23,14,CBJ
24,13,LAK
25,23,EDM
26,4,BOS
27,20,CGY
28,6,WSH
29,26,VAN
30,22,NYI
31,31,BUF
32,16,FLA
33,31,BUF
34,18,STL
35,17,COL
36,16,FLA
37,17,COL
38,20,CGY
39,22,NYI
40,6,WSH
41,23,EDM
42,8,ANA
43,31,BUF
44,22,NYI
45,0,TOT
45,4,BOS
45,24,NYR
46,5,VEG
47,9,MIN
48,19,DAL
49,28,MTL
50,18,STL
51,20,CGY
52,23,EDM
53,4,BOS
54,18,STL
55,22,NYI
56,9,MIN
57,27,DET
58,26,VAN
59,8,ANA
60,17,COL
61,1,NSH
62,4,BOS
63,14,CBJ
64,16,FLA
65,18,STL
66,8,ANA
67,4,BOS
68,30,OTT
69,11,SJS
70,26,VAN
71,31,BUF
72,8,ANA
73,1,NSH
74,27,DET
75,7,TOR
76,16,FLA
77,30,OTT
78,18,STL
79,26,VAN
80,25,CHI
81,3,TBL
82,17,COL
83,18,STL
84,6,WSH
85,22,NYI
86,6,WSH
87,15,NJD
88,7,TOR
89,0,TOT
89,30,OTT
89,10,PIT
90,15,NJD
91,11,SJS
92,16,FLA
93,13,LAK
94,14,CBJ
95,20,CGY
96,9,MIN
97,18,STL
98,13,LAK
99,20,CGY
100,7,TOR
101,13,LAK
102,0,TOT
102,3,TBL
102,8,ANA
103,30,OTT
104,24,NYR
105,6,WSH
106,30,OTT
107,26,VAN
108,11,SJS
109,30,OTT
110,15,NJD
111,18,STL
112,2,WPG
113,28,MTL
114,23,EDM
115,3,TBL
116,14,CBJ
117,0,TOT
117,23,EDM
117,13,LAK
118,29,ARI
119,24,NYR
120,4,BOS
121,6,WSH
122,14,CBJ
123,0,TOT
123,5,VEG
123,11,SJS
124,28,MTL
125,7,TOR
126,21,CAR
127,5,VEG
128,13,LAK
129,24,NYR
130,4,BOS
131,30,OTT
132,4,BOS
133,30,OTT
134,26,VAN
135,4,BOS
136,2,WPG
137,6,WSH
138,0,TOT
138,22,NYI
138,8,ANA
139,30,OTT
140,0,TOT
140,6,WSH
140,14,CBJ
141,29,ARI
142,24,NYR
143,3,TBL
144,22,NYI
145,30,OTT
146,29,ARI
147,13,LAK
148,22,NYI
149,3,TBL
150,8,ANA
151,0,TOT
151,10,PIT
151,14,CBJ
152,15,NJD
153,17,COL
154,17,COL
155,3,TBL
156,29,ARI
157,6,WSH
158,2,WPG
159,2,WPG
160,10,PIT
161,29,ARI
162,11,SJS
163,12,PHI
164,9,MIN
165,0,TOT
165,24,NYR
165,19,DAL
166,13,LAK
167,31,BUF
168,10,PIT
169,29,ARI
170,9,MIN
171,4,BOS
172,16,FLA
173,21,CAR
174,25,CHI
175,22,NYI
176,27,DET
177,14,CBJ
178,28,MTL
179,2,WPG
180,29,ARI
181,0,TOT
181,23,EDM
181,22,NYI
181,28,MTL
182,22,NYI
183,28,MTL
184,10,PIT
185,24,NYR
186,25,CHI
187,4,BOS
188,27,DET
